2017-10-08 13:40:17,684 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10EJB\src\test\resources
2017-10-08 13:40:17,737 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-10-08 13:40:17,789 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: Project2V10EJB:Project2V10EJB:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10EJB\pom.xml.
2017-10-08 13:40:18,377 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/ejbModule
2017-10-08 13:40:18,377 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10EJB/ejbModule overlaps with sources folder /Project2V10EJB/ejbModule
2017-10-08 13:40:18,386 [Worker-25] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/src/test/java
2017-10-08 13:40:18,488 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:18,495 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:18,498 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:18,499 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10EJB\src\test\resources
2017-10-08 13:40:18,555 [Worker-25] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-10-08 13:40:18,736 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:18,738 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:18,740 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:18,741 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10EJB\src\test\resources
2017-10-08 13:40:40,036 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.RarLifecycleMapping lifecycle mapping for MavenProject: Project2V10Connector:Project2V10Connector:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Connector\pom.xml.
2017-10-08 13:40:41,798 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/connectorModule
2017-10-08 13:40:41,799 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Connector/connectorModule overlaps with sources folder /Project2V10Connector/connectorModule
2017-10-08 13:40:41,803 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/src/test/java
2017-10-08 13:40:42,191 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:42,192 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:42,197 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:42,198 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Connector\src\test\resources
2017-10-08 13:40:42,244 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-10-08 13:40:42,280 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.RarLifecycleMapping lifecycle mapping for MavenProject: Project2V10Connector:Project2V10Connector:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Connector\pom.xml.
2017-10-08 13:40:42,682 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/connectorModule
2017-10-08 13:40:42,682 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Connector/connectorModule overlaps with sources folder /Project2V10Connector/connectorModule
2017-10-08 13:40:42,686 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/src/test/java
2017-10-08 13:40:42,762 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:42,764 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:42,765 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:42,766 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Connector\src\test\resources
2017-10-08 13:40:42,963 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-10-08 13:40:43,137 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:43,138 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:43,142 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:43,143 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Connector\src\test\resources
2017-10-08 13:40:48,195 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.AcrLifecycleMapping lifecycle mapping for MavenProject: Project2V10Client:Project2V10Client:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Client\pom.xml.
2017-10-08 13:40:49,174 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:49,176 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:49,181 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:49,182 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Client\src\test\resources
2017-10-08 13:40:49,211 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/appClientModule
2017-10-08 13:40:49,211 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Client/appClientModule overlaps with sources folder /Project2V10Client/appClientModule
2017-10-08 13:40:49,217 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/src/test/java
